Gender,District,Party,Name,Twitter Account,Winner/Loser,Partisan Change,Running for
Male,Alaska's at-large,Republican,Don Young,@DonYoungAK ,Winner,No,House
Male,Arkansas' 2nd,Republican,French Hill,@ElectFrench ,Winner,No,House
Male,Arizona's 1st,Democrat,Tom O'Halleran,@TomOHalleran ,Winner,No,House
Female,Arizona's 2nd,Democrat,Ann Kirkpatrick,@Ann_Kirkpatrick ,Winner,Yes,House
Male,California's 8th,Republican,Paul Cook,@joinpaulcook ,Winner,No,House
Male,California's 10th,Democrat,Josh Harder,@joshua_harder ,Winner,Yes,House
Male,California's 16th,Democrat,Jim Costa,@RepJimCosta ,Winner,No,House
Male,California's 22nd,Republican,Devin Nunes,@DevinNunes ,Winner,No,House
Female,California's 25th,Democrat,Katie Hill,@KatieHill4CA ,Winner,Yes,House
Male,California's 39th,Democrat,Gil Cisneros,@GilCisnerosCA ,Winner,Yes,House
Female,California's 45th,Democrat,Katie Porter,@katieporteroc ,Winner,Yes,House
Male,California's 48th,Democrat,Harley Rouda,@HarleyRouda ,Winner,Yes,House
Male,California's 49th,Democrat,Mike Levin,@MikeLevinCA ,Winner,Yes,House
Male,California's 50th,Republican,Duncan Hunter,@Rep_Hunter ,Winner,No,House
Male,Colorado's 6th,Democrat,Jason Crow,@JasonCrowCO6 ,Winner,Yes,House
Male,Florida's 15th,Republican,Ross Spano,@RossSpano ,Winner,No,House
Male,Florida's 16th,Republican,Vern Buchanan,@Vern2014 ,Winner,No,House
Male,Florida's 18th,Republican,Brian Mast,@BrianMastFL ,Winner,No,House
Male,Florida's 25th,Republican,Mario Diaz-Balart,@MarioDBCamp ,Winner,No,House
Female,Florida's 26th,Democrat,Debbie Mucarsel-Powell,@DebbieforFL ,Winner,Yes,House
Female,Florida's 27th,Democrat,Donna Shalala,@DonnaShalala ,Winner,Yes,House
Female,Georgia's 6th,Democrat,Lucy McBath,@LucyWins2018 ,Winner,Yes,House
Male,Georgia's 7th,Republican,Rob Woodall,@RepRobWoodall,Winner,No,House
Male,Illinois' 6th,Democrat,Sean Casten,@SeanCasten ,Winner,Yes,House
Male,Illinois' 12th,Republican,Mike Bost,@BostForCongress ,Winner,No,House
Male,Illinois' 13th,Republican,Rodney Davis,@ElectRodney ,Winner,No,House
Female,Illinois' 14th,Democrat,Lauren Underwood,@LUnderwood630 ,Winner,Yes,House
